"","x"
"1",7.88875680465782e-09
"2",4.02340951139721e-08
"3",1.98438722120578e-07
"4",9.41586930403411e-07
"5",4.27275286167592e-06
"6",1.84155402207074e-05
"7",7.47913992184046e-05
"8",0.000283627268687266
"9",0.000993830423995146
"10",0.00317903846460669
"11",0.009155084202146
"12",0.0233601560801599
"13",0.0518528344272613
"14",0.098043547365524
"15",0.154152769445611
"16",0.196062983407628
"17",0.195463738278742
"18",0.147345286694007
"19",0.111142957077026
"20",0.0087577370306311
"21",0.000107630886609367
"22",1.72127377009449e-10
"23",1.0137344690427e-09
"24",5.77327787588351e-09
"25",3.16297860749537e-08
"26",1.65711531999999e-07
"27",8.24522873744474e-07
"28",3.86546068296955e-06
"29",1.69192006196469e-05
"30",6.84177599742015e-05
"31",0.000252528017567506
"32",0.000838985055145615
"33",0.00246918150708386
"34",0.00632014148397161
"35",0.0137760326708562
"36",0.0249609677163361
"37",0.0365715804605876
"38",0.0419821443629198
"39",0.0364232846208491
"40",0.0329052390110224
"41",0.00335588778133364
"42",5.37244171559204e-05
"43",3.76128634074416e-12
"44",2.55801091541796e-11
"45",1.68217158566007e-10
"46",1.06411353614495e-09
"47",6.43662511242508e-09
"48",3.69731738508735e-08
"49",2.00088698922349e-07
"50",1.01085768420002e-06
"51",4.71749098853791e-06
"52",2.0091718075797e-05
"53",7.70102474957147e-05
"54",0.000261421844406731
"55",0.000771617441152786
"56",0.0019389172995156
"57",0.00404864243586927
"58",0.00683337805218341
"59",0.00903250856840129
"60",0.00901909353476857
"61",0.00979837975834908
"62",0.00129104457779999
"63",2.68744218418336e-05
"64",8.23099651709673e-14
"65",6.46417973172788e-13
"66",4.9085669986141e-12
"67",3.58525922155647e-11
"68",2.50385663119471e-10
"69",1.66043568516877e-09
"70",1.03729295554986e-08
"71",6.04873853832695e-08
"72",3.25781036233458e-07
"73",1.60105327941606e-06
"74",7.08000431785783e-06
"75",2.77224510118295e-05
"76",9.43601826618766e-05
"77",0.00027334838243888
"78",0.000657793222966319
"79",0.00127899002035428
"80",0.00194668945410193
"81",0.00223712374269687
"82",0.00293526408476005
"83",0.000498779875954107
"84",1.34743149087014e-05
